Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
232,Joe Ingles,SF,36,ORL,27,0,18.4,1.7,4.3,40.9%,1.1,2.7,39.7%,0.7,1.6,0.429,53.5%,0.6,0.7,85.0%,0.4,2.2,2.6,3.5,0.8,0.1,1,1.7,5.2,inglejo01
233,Brandon Ingram,SF,26,NOP,38,38,33.1,8,16.4,48.9%,1.4,3.9,36.2%,6.6,12.4,0.529,53.2%,4.2,5.1,81.9%,0.6,4.2,4.8,5.5,0.9,0.4,2.4,2.3,21.6,ingrabr01
234,Kyrie Irving,SG,31,DAL,26,26,33.2,9.3,19.6,47.3%,2.9,7,41.0%,6.4,12.6,0.508,54.6%,3.8,4.3,89.3%,0.8,4.2,5,5.4,1.3,0.5,1.7,1.8,25.3,irvinky01
235,Jonathan Isaac,PF,26,ORL,24,0,13.6,2.1,4.7,45.1%,0.6,2,28.6%,1.5,2.7,0.578,51.3%,1.3,1.7,77.5%,1.1,3,4.1,0.4,0.8,1.1,0.5,1.3,6.1,isaacjo01
236,Jaden Ivey,SG,21,DET,37,21,26.3,5,10.9,45.9%,1.3,4,31.5%,3.7,6.9,0.543,51.7%,3,4.1,73.3%,1.3,2.4,3.8,3.6,0.8,0.6,2.3,2.8,14.2,iveyja01
237,Andre Jackson Jr.,SG,22,MIL,35,8,11.3,1.1,2.1,52.8%,0.4,1,38.2%,0.7,1.1,0.658,61.8%,0.2,0.2,85.7%,0.9,1.2,2.2,1,0.3,0.1,0.5,1.9,2.7,jacksan01
238,Gregory Jackson II,PF,19,MEM,9,0,10.7,2.1,4.8,44.2%,1,2.3,42.9%,1.1,2.4,0.455,54.7%,1,1.4,69.2%,1,1.6,2.6,0.3,0.3,0.6,0.7,0.9,6.2,jacksgg01
239,Isaiah Jackson,C,22,IND,33,1,13.8,2.8,4.2,67.6%,0,0.1,0.0%,2.8,4.2,0.686,67.6%,1.3,1.9,69.4%,1.5,2.7,4.2,0.9,0.7,1.2,0.7,2.8,7,jacksis01
240,Jaren Jackson Jr.,C,24,MEM,39,39,31.5,7.3,16.1,45.5%,1.8,5.4,33.8%,5.5,10.7,0.513,51.1%,5.1,6.1,83.2%,1.3,4.4,5.7,1.7,0.9,1.7,1.9,3.5,21.6,jacksja02
241,Reggie Jackson,PG,33,DEN,42,14,23.2,4.7,9.9,47.0%,1.4,3.7,38.5%,3.2,6.2,0.521,54.2%,1,1.3,75.0%,0.4,1.7,2.1,4.2,0.6,0.2,1.5,1.9,11.8,jacksre01
242,Trayce Jackson-Davis,PF,23,GSW,30,3,14.4,2.9,4.3,68.8%,0,0,0.0%,2.9,4.3,0.688,68.8%,1.1,1.8,61.8%,1.7,2.6,4.3,1,0.4,0.8,0.8,1.7,7,jackstr02
243,LeBron James,PF,39,LAL,38,38,34.4,9.3,17.7,52.4%,2.1,5.4,39.1%,7.2,12.3,0.582,58.4%,4,5.5,73.1%,0.8,6.3,7.2,7.6,1.4,0.6,3.3,1.1,24.7,jamesle01
244,Jaime Jaquez Jr.,SF,22,MIA,39,15,30.2,5.4,10.6,51.3%,1.1,3,35.3%,4.4,7.6,0.576,56.3%,2.1,2.5,83.7%,1.3,2.6,3.9,2.7,1.1,0.3,1.7,2.5,14,jaqueja01
245,DaQuan Jeffries,SG,26,NYK,10,0,3,0.5,1.2,41.7%,0.1,0.5,20.0%,0.4,0.7,0.571,45.8%,0,0.2,0.0%,0,0.5,0.5,0.2,0,0,0.1,0.2,1.1,jeffrda01
246,Ty Jerome,SG,26,CLE,2,0,7.5,1,2,50.0%,0,0.5,0.0%,1,1.5,0.667,50.0%,0,0,0.0%,0.5,0,0.5,1.5,0,0,0.5,1,2,jeromty01
247,Isaiah Joe,SG,24,OKC,41,0,19.2,3.1,6.8,45.5%,2.2,5.1,42.4%,0.9,1.7,0.551,61.5%,0.7,0.8,82.4%,0.4,2,2.4,1.1,0.7,0.3,0.6,1.1,9,joeis01
248,Cameron Johnson,PF,27,BRK,32,32,28.8,5.3,11.5,45.7%,2.5,6.3,39.3%,2.8,5.2,0.533,56.4%,1.2,1.7,71.7%,1.1,3.5,4.7,2.4,0.8,0.2,0.9,2,14.2,johnsca02
249,Jalen Johnson,SF,22,ATL,26,23,32,5.9,10.3,56.9%,1.2,2.8,40.5%,4.7,7.5,0.631,62.5%,1.9,2.5,78.1%,1.2,7.2,8.3,3.1,1.3,0.8,2.2,2.5,14.8,johnsja05
